1,Outers to Mid,3,5
0,2,,
0,-1,0,
0,0,0,
0,0,0,
-1,0,-1,
-1,0,-1,
1,,,
-1,-1,-1,
-1,0,-1,
-1,-1,-1,
-1,-1,-1,
-1,-1,-1,
,,,
2,Mid to Outers,3,5
1,,,
-1,0,-1,
-1,0,-1,
0,0,0,
0,0,0,
0,-1,0,
0,2,,
-1,-1,-1,
-1,0,-1,
-1,-1,-1,
-1,-1,-1,
-1,-1,-1,
,,,
3,Left to Right Long,3,8
0,,,
0,-1,-1,
0,-1,-1,
0,-1,-1,
0,1,0,
0,1,0,
0,-1,0,
-1,-1,0,
-1,-1,0,
2,,,
-1,-1,-1,
-1,-1,0,
-1,-1,-1,
-1,-1,-1,
-1,-1,-1,
-1,-1,-1,
-1,-1,-1,
-1,-1,-1,
,,,
3,Right to Left Long,3,8
2,,,
-1,-1,0,
-1,-1,0,
-1,-1,0,
0,1,0,
0,1,0,
0,-1,0,
0,-1,-1,
0,-1,-1,
0,,,
-1,-1,-1,
0,-1,-1,
-1,-1,-1,
-1,-1,-1,
-1,-1,-1,
-1,-1,-1,
-1,-1,-1,
-1,-1,-1,
